match_no,innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_batting_first,team2_batting_second,team1_score,team1_wickets,team2_score,team2_wickets,extra_type,
26,1,12,2,Suraj Ajya Ahuja,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,12,3,Gneshwar Naveen,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,12,4,Suraj Ajya Ahuja,Right,P Shekawat,Right,fast,pace,6,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,12,5,Suraj Ajya Ahuja,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,12,6,Suraj Ajya Ahuja,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,13,1,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,13,2,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,13,3,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,13,4,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,13,5,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,13,6,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,14,1,Gneshwar Naveen,Right,V Vijaykumar,Right,fast,pace,0,0,TRUE,CAUGHT,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,14,2,Gneshwar Naveen,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,14,3,Suraj Ajya Ahuja,Right,V Vijaykumar,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,14,4,Suraj Ajya Ahuja,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,14,5,Gneshwar Naveen,Right,V Vijaykumar,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,14,6,Gneshwar Naveen,Right,V Vijaykumar,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,15,1,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,15,2,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,15,3,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,15,4,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,15,5,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,15,6,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,16,1,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
26,1,16,1,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,16,2,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,16,3,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
26,1,16,3,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,6,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,16,4,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,16,5,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,16,6,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,17,1,Gneshwar Naveen,Right,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,17,2,Suraj Ajya Ahuja,Right,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,17,3,Gneshwar Naveen,Right,Bannur,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,17,4,Gneshwar Naveen,Right,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,17,5,Suraj Ajya Ahuja,Right,Bannur,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,17,6,Suraj Ajya Ahuja,Right,Bannur,Right,fast,pace,6,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,18,1,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,18,2,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,18,3,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
