match_no,Innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_batting_first,team2_batting_second,team1_score,team1_wickets,team2_score,team2_wickets,extra_type,
17,1,14,4,A Doddamani,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,14,5,H Raj,Left,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,14,6,H Raj,Left,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,15,1,H Raj,Left,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,Wide,
17,1,15,1,H Raj,Left,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,15,2,H Raj,Left,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,15,3,A Doddamani,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,15,4,A Doddamani,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,15,5,A Doddamani,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,15,6,H Raj,Left,L Kaushal,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,16,1,A Doddamani,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,16,2,A Doddamani,Right,P Shekawat,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,16,3,A Doddamani,Right,P Shekawat,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,16,4,A Doddamani,Right,P Shekawat,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,16,5,A Doddamani,Right,P Shekawat,Right,fast,pace,0,0,TRUE,Bowled,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,16,6,Darshan MB,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,17,1,H Raj,Left,S Hatti,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,17,2,H Raj,Left,S Hatti,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,17,3,H Raj,Left,S Hatti,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,17,4,Darshan MB,Right,S Hatti,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,17,5,Darshan MB,Right,S Hatti,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,17,6,H Raj,Left,S Hatti,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,18,1,Darshan MB,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,18,2,Darshan MB,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,NB,
17,1,18,2,Darshan MB,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,18,3,H Raj,Left,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,18,4,Darshan MB,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,18,5,Darshan MB,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,Wide,
17,1,18,5,Darshan MB,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
